Age,Pos.,Status,Waiver Options,Base Salary,Signing Bonus,Adj. Salary,Payroll %,Lux. Tax Salary,Team,Tm,Year,Incentives,Player,Salary
34,SP,Vet,,"$35,000,000",-,"$23,571,429",25.0,35000000,WSN,Washington Nationals,2023,,Stephen Strasburg,35000000
26,CF,Arb 2,1.0,"$2,325,000",-,"$2,325,000",2.47,2325000,WSN,Washington Nationals,2023,,Victor Robles,2325000
31,RP,Arb 3,,"$2,250,000",-,"$2,250,000",2.39,2250000,WSN,Washington Nationals,2023,,C.J. Edwards,2250000
30,RP,Arb 2 (S2),0.0,"$1,500,000",-,"$1,500,000",1.59,1500000,WSN,Washington Nationals,2023,,Tanner Rainey,1500000
28,RP,Arb 1,1.0,"$925,000",-,"$925,000",0.98,925000,WSN,Washington Nationals,2023,,Victor Arano,925000
28,RP,Arb 1,1.0,"$870,000",-,"$870,000",0.92,870000,WSN,Washington Nationals,2023,,Hunter Harvey,870000
24,SP,Pre-Arb,3.0,"$720,200",-,"$720,200",0.76,720200,WSN,Washington Nationals,2023,,Cade Cavalli,720200
23,C,Pre-Arb,3.0,"$720,200",-,"$720,200",0.76,720200,WSN,Washington Nationals,2023,,Israel Pineda,720200
26,RP,Pre-Arb,3.0,"$720,000",-,"$720,000",0.76,720000,WSN,Washington Nationals,2023,,Thad Ward,720000
36,RP,Pre-Arb,2.0,"$720,000",-,"$313,551",0.33,313551,WSN,Washington Nationals,2023,,Paolo Espino,720000
33,SP,Vet,,"$24,000,000","$416,666","$24,416,666",25.9,23333333,WSN,Washington Nationals,2023,,Patrick Corbin,24416666
31,SP,Vet,,"$6,000,000",-,"$6,000,000",6.36,6500000,WSN,Washington Nationals,2023,,Trevor Williams,6000000
29,3B,Arb 3,,"$5,000,000",-,"$5,000,000",5.3,5000000,WSN,Washington Nationals,2023,,Jeimer Candelario,5000000
31,RP/CL,Arb 1,3.0,"$2,325,000",-,"$2,325,000",2.47,2325000,WSN,Washington Nationals,2023,,Kyle Finnegan,2325000
34,LF,Vet,,"$2,250,000",-,"$2,250,000",2.39,2250000,WSN,Washington Nationals,2023,,Corey Dickerson,2250000
27,RF,Arb 1,1.0,"$2,200,000",-,"$2,200,000",2.33,2200000,WSN,Washington Nationals,2023,,Lane Thomas,2200000
28,1B,,1.0,"$2,000,000",-,"$2,000,000",2.12,2000000,WSN,Washington Nationals,2023,,Dominic Smith,2000000
24,C,Vet,1.0,"$1,000,000","$375,000","$1,375,000",1.46,6250000,WSN,Washington Nationals,2023,,Keibert Ruiz,1375000
27,2B,Arb 1,1.0,"$1,000,000",-,"$1,000,000",1.06,1000000,WSN,Washington Nationals,2023,,Michael Chavis,1000000
31,2B,Arb 1,0.0,"$975,000",-,"$975,000",1.03,975000,WSN,Washington Nationals,2023,,Ildemaro Vargas,975000
23,2B,Pre-Arb,1.0,"$730,000",-,"$730,000",0.77,730000,WSN,Washington Nationals,2023,,Luis Garcia,730000
25,SP,Pre-Arb,3.0,"$730,000",-,"$730,000",0.77,730000,WSN,Washington Nationals,2023,,Josiah Gray,730000
27,C,Pre-Arb,1.0,"$728,800",-,"$728,800",0.77,728800,WSN,Washington Nationals,2023,,Riley Adams,728800
25,RP,Pre-Arb,1.0,"$724,400",-,"$724,400",0.77,724400,WSN,Washington Nationals,2023,,Mason Thompson,724400
22,SS,Pre-Arb,2.0,"$724,200",-,"$724,200",0.77,724200,WSN,Washington Nationals,2023,,CJ Abrams,724200
24,SP,Pre-Arb,3.0,"$723,300",-,"$723,300",0.77,723300,WSN,Washington Nationals,2023,,MacKenzie Gore,723300
31,1B,Pre-Arb,3.0,"$723,300",-,"$723,300",0.77,723300,WSN,Washington Nationals,2023,,Joey Meneses,723300
27,LF,Pre-Arb,3.0,"$720,000",-,"$704,516",0.75,704516,WSN,Washington Nationals,2023,,Stone Garrett,720000
28,LF,Pre-Arb,3.0,"$721,800",-,"$648,127",0.69,648127,WSN,Washington Nationals,2023,,Alex Call,721800
26,SP,Pre-Arb,3.0,"$720,000",-,"$584,521",0.62,584521,WSN,Washington Nationals,2023,,Jake Irvin,720000
27,SP,Pre-Arb,1.0,"$720,000",-,"$460,649",0.49,460649,WSN,Washington Nationals,2023,,Cory Abbott,720000
30,RP,Pre-Arb,1.0,"$720,000",-,"$460,649",0.49,460649,WSN,Washington Nationals,2023,,Jordan Weems,720000
30,RP,Pre-Arb,0.0,"$720,000",-,"$402,584",0.43,402584,WSN,Washington Nationals,2023,,Andres Machado,720000
23,RP,Pre-Arb,3.0,"$720,000",-,"$356,132",0.38,356132,WSN,Washington Nationals,2023,,Jose Ferrer,720000
25,RP,Pre-Arb,3.0,"$720,000",-,"$356,132",0.38,356132,WSN,Washington Nationals,2023,,Joe LaSorsa,720000
29,RP,Pre-Arb,2.0,"$720,000",-,"$286,454",0.3,286454,WSN,Washington Nationals,2023,,Rico Garcia,720000
36,SP,Vet,,"$20,000,000",-,"$20,000,000",9.4,20000000,TOR,Toronto Blue Jays,2023,,Hyun-Jin Ryu,20000000
30,RP/CL,Arb 1,2.0,"$4,537,500",-,"$4,537,500",2.13,4537500,TOR,Toronto Blue Jays,2023,,Jordan Romano,4537500
32,RP,Arb 3 (S2),3.0,"$3,150,000",-,"$3,150,000",1.48,3150000,TOR,Toronto Blue Jays,2023,,Adam Cimber,3150000
32,RP,Vet,,"$2,250,000",-,"$2,250,000",1.06,4250000,TOR,Toronto Blue Jays,2023,,Chad Green,2250000
33,RF,Vet,,"$22,500,000","$1,666,667","$24,166,666",11.36,25000000,TOR,Toronto Blue Jays,2023,,George Springer,24166666
32,SP,Vet,,"$21,000,000",-,"$21,000,000",9.87,22000000,TOR,Toronto Blue Jays,2023,,Kevin Gausman,21000000
